column129396,column221862,column332466,column46955,column5367,column6163,column739,column841,column946,column1020
column146249,column220277,column312025,column47117,column5339,column6325,column722,column840,column947,column1012
column11362,column238235,column336072,column43900,column5474,column6132,column76,column818,column922,column1038
column116767,column246000,column34400,column43015,column5577,column6386,column77,column813,column925,column109
column115291,column233775,column349820,column44499,column5297,column6237,column72,column85,column920,column106
column131692,column222945,column349850,column47502,column5874,column6155,column793,column84,column939,column1021
column137147,column212641,column36220,column46166,column5542,column6107,column798,column849,column928,column104
column139673,column222668,column338925,column45576,column5160,column6214,column797,column822,column911,column1036
column118513,column212479,column321726,column46264,column5825,column6392,column711,column84,column941,column1010
column147579,column211726,column3410,column43428,column5682,column6131,column715,column83,column99,column103
column136226,column233719,column331195,column41766,column557,column6314,column718,column822,column919,column1032
column124873,column240704,column323404,column4493,column5684,column6248,column771,column816,column933,column1038
column127820,column220994,column342509,column45579,column5116,column6158,column78,column826,column96,column1031
column121843,column219127,column349487,column41461,column5552,column6233,column79,column814,column945,column1046
column114358,column247243,column318884,column44687,column5897,column6188,column762,column819,column935,column1011
column135142,column238815,column331616,column41295,column5754,column6341,column787,column836,column934,column1011
column15803,column214761,column31103,column4935,column5645,column6479,column736,column833,column98,column1033
column143959,column212321,column332619,column43070,column519,column671,column717,column84,column920,column1028
column113585,column238904,column310115,column4926,column5919,column683,column720,column817,column98,column1049
column134199,column216733,column346015,column49984,column5883,column611,column71,column840,column949,column1038
column111764,column2446,column313150,column42014,column5658,column6108,column725,column81,column948,column1042
column125922,column218396,column347686,column41229,column5537,column6419,column732,column848,column99,column102
column112132,column242161,column311307,column49919,column5394,column6213,column736,column843,column934,column1045
column135371,column223897,column349737,column42792,column5785,column6443,column780,column844,column922,column1039
column134249,column233106,column322644,column45086,column5863,column6401,column734,column846,column919,column1022
column112296,column27611,column316250,column46927,column5919,column6459,column776,column843,column931,column1025
column19007,column236298,column332483,column43327,column548,column6296,column766,column836,column935,column1026
column149142,column245188,column32563,column46602,column5602,column640,column759,column82,column915,column1014
column139334,column245154,column32617,column47906,column530,column6396,column725,column846,column947,column1035
column145146,column216749,column343416,column42566,column5580,column630,column735,column845,column944,column106
column144013,column223205,column314650,column49979,column5303,column6275,column766,column840,column948,column1014
column16822,column241100,column37250,column45571,column5476,column6265,column71,column824,column94,column1045
column147130,column248569,column317879,column47861,column5441,column668,column770,column813,column943,column1017
column114873,column25528,column314344,column47990,column5387,column682,column720,column841,column915,column1025
column123770,column223370,column32520,column41512,column5922,column6106,column798,column834,column930,column1022
column141908,column28842,column330611,column45214,column529,column6289,column786,column838,column941,column1048
column126416,column237198,column327238,column49793,column5878,column6270,column73,column836,column912,column1026
column118434,column21826,column35565,column45244,column5187,column6152,column796,column837,column949,column1047
column18434,column26720,column349378,column4172,column5375,column6490,column747,column813,column918,column1043
column1661,column224501,column332311,column49798,column578,column6420,column70,column846,column912,column1034
column141337,column230253,column316057,column45750,column5608,column6452,column780,column827,column911,column104
column135255,column248091,column345687,column44107,column5284,column6224,column772,column846,column935,column104
column121560,column247032,column323673,column46058,column569,column6459,column790,column85,column947,column1045
column137440,column244112,column324412,column43257,column5356,column643,column763,column839,column925,column1034
column115271,column215716,column313171,column44406,column5478,column6456,column788,column847,column95,column1026
column131822,column210730,column341810,column4341,column5976,column6387,column758,column831,column928,column1020
column132111,column212794,column35808,column49499,column5675,column6377,column770,column816,column948,column100
column136202,column220199,column31239,column4629,column5562,column6373,column761,column836,column948,column1013
column113608,column27796,column35095,column46428,column5453,column6452,column787,column840,column914,column1049
column129586,column232834,column332108,column42627,column512,column6180,column770,column817,column92,column1013
column112361,column222087,column347529,column49063,column5603,column6294,column778,column827,column938,column1011
column116397,column247665,column315356,column48195,column5438,column6117,column754,column817,column97,column1021
column117549,column226407,column348172,column45181,column5841,column6120,column796,column825,column935,column1040
column126407,column216960,column31540,column48497,column574,column6422,column756,column837,column924,column1017
column137977,column213436,column312379,column42948,column5293,column6250,column768,column838,column947,column1021
column1199,column210098,column346096,column48061,column570,column6123,column771,column830,column945,column1019
column18422,column234640,column323289,column4935,column5857,column699,column799,column812,column929,column1039
column17692,column211908,column39086,column46041,column5813,column6412,column715,column812,column920,column105
column12663,column223240,column349889,column45621,column5208,column6423,column773,column839,column935,column103
column119391,column244304,column343574,column45756,column5759,column6278,column710,column86,column944,column1037
column15853,column225310,column32338,column46791,column555,column6215,column759,column846,column945,column105
column12873,column243930,column323747,column4922,column5567,column6330,column720,column817,column920,column106
column121695,column29285,column340098,column45507,column5715,column6101,column72,column842,column946,column1043
column11266,column27440,column330134,column47154,column5234,column60,column76,column826,column936,column1010
column13515,column238475,column340223,column42135,column5215,column6401,column774,column827,column91,column1041
column136632,column229956,column317221,column45156,column5410,column68,column789,column838,column921,column1025
column113510,column237586,column323480,column41273,column5906,column6326,column744,column81,column927,column100
column113083,column226269,column345004,column46209,column5516,column6190,column770,column89,column93,column104
column113866,column214225,column314677,column41939,column5375,column6474,column797,column81,column924,column109
column14272,column249926,column3367,column4963,column51,column6130,column789,column845,column920,column1046
column115499,column235793,column326383,column47849,column5668,column6323,column792,column841,column923,column1035
column119922,column211684,column311228,column44438,column5392,column6436,column785,column824,column948,column1037
column147353,column24572,column343252,column43532,column5789,column6345,column735,column849,column931,column1033
column141851,column246925,column38683,column49446,column5698,column658,column734,column846,column91,column1013
column11846,column221084,column321629,column492,column533,column6419,column729,column815,column947,column1037
column12411,column215534,column331795,column45030,column5474,column6441,column715,column849,column932,column1030
column124101,column25435,column340141,column41942,column5967,column62,column711,column825,column924,column1020
column130906,column226220,column345470,column4747,column5180,column6195,column743,column87,column922,column100
column144880,column210627,column318008,column47415,column557,column664,column782,column829,column929,column1011
column118079,column231419,column323400,column43123,column5795,column6188,column739,column823,column97,column1036
column149530,column230671,column342973,column43820,column5442,column6434,column734,column829,column929,column1013
column144015,column212117,column329886,column43993,column5655,column647,column712,column841,column912,column102
column148238,column224832,column311080,column4681,column5992,column6461,column789,column823,column928,column1013
column117368,column244999,column38178,column44218,column5588,column6369,column776,column821,column918,column1019
