column122674,column214605,column318923,2869,column563,column6276,column790,column835,column930,column1018,39,55,827,903
column18078,column211229,column324244,2632,column592,column6152,column782,column81,column935,column1010,400,772,134,185
column119002,column211457,column338493,2751,column5855,column619,column72,column834,column924,column1019,177,858,187,441
column123342,column242299,column311926,7121,column5764,column6176,column753,column821,column947,column1020,188,189,189,500
column122514,column243723,column313793,5049,column5386,column6396,column787,column832,column90,column1029,772,858,189,342
column110628,column21911,column36441,6717,column5237,column6270,column782,column81,column96,column1033,503,572,959,274
column127086,column248061,column344854,7002,column5282,column69,column725,column823,column938,column1022,706,961,225,1036
column139451,column218135,column314979,4120,column5355,column6119,column736,column819,column94,column1040,678,449,487,54
column15797,column217206,column316271,6943,column5209,column6413,column785,column844,column930,column1036,278,519,915,448
column134784,column210421,column324011,2944,column5974,column6313,column743,column849,column917,column1042,919,188,338,835
column131928,column223965,column316957,789,column5911,column6196,column70,column841,column916,column1010,826,316,613,738
column128652,column237755,column345063,4292,column557,column6313,column721,column826,column90,column1027,892,949,541,967
column118945,column233222,column38178,203,column563,column626,column794,column820,column916,column1018,950,134,846,717
column125755,column238398,column349306,7278,column5133,column6432,column784,column823,column919,column1037,487,313,569,289
column115717,column245718,column329099,6932,column593,column6159,column759,column829,column925,column105,752,81,778,998
column17993,column220633,column315393,533,column5383,column6132,column782,column835,column929,column101,313,969,178,187
column142330,column221421,column318173,8981,column5307,column6220,column789,column84,column922,column1015,946,290,305,312
column126678,column221129,column339404,4280,column5661,column6310,column789,column82,column914,column1028,437,349,821,895
column145848,column226171,column315969,6133,column5245,column6221,column797,column822,column930,column1016,900,169,440,564
column123908,column229373,column340594,8689,column567,column6490,column76,column811,column910,column1042,571,241,432,351
column14564,column234021,column32237,2589,column5112,column66,column785,column823,column938,column1027,124,788,95,677
column139259,column220608,column323365,4033,column5135,column6144,column780,column844,column911,column1047,401,271,502,1031
column14375,column243703,column336514,7644,column5779,column6139,column765,column831,column939,column106,847,367,770,175
column127466,column2359,column311684,6615,column5652,column627,column785,column81,column99,column106,399,430,444,928
column14614,column212184,column338926,1180,column5169,column6304,column776,column833,column921,column1045,610,602,31,289
column135439,column210113,column341236,8435,column5324,column6316,column791,column839,column918,column1014,412,275,122,245
column122355,column212486,column322062,5180,column5414,column6119,column730,column82,column939,column1020,903,1018,474,972
column146708,column224819,column34449,2668,column5361,column6193,column76,column835,column936,column100,802,466,487,708
column15769,column242666,column329047,2057,column5114,column6242,column742,column836,column920,column1022,845,552,525,238
column145062,column23310,column347997,6332,column5658,column626,column734,column828,column943,column1047,751,641,697,615
column127150,column230017,column312160,9167,column5745,column6485,column735,column814,column927,column1035,611,41,415,710
column115274,column21860,column32753,9767,column5959,column6396,column728,column846,column939,column1026,179,552,776,965
column127087,column227191,column326113,2356,column5873,column643,column724,column829,column917,column1041,136,273,374,242
column130003,column217588,column339278,9110,column5600,column6397,column76,column829,column936,column1049,336,650,332,353
column148049,column234405,column340685,4690,column5788,column6264,column795,column821,column96,column1035,520,971,80,503
column134037,column236847,column33827,8920,column5654,column6428,column78,column832,column948,column1023,12,58,261,430
column132561,column231573,column31317,7074,column5563,column6497,column745,column82,column944,column1043,519,218,983,355
column114139,column229400,column347441,9829,column5567,column6195,column797,column831,column921,column1020,263,1004,13,350
column114629,column243295,column348844,4464,column5716,column6377,column781,column842,column929,column109,502,752,936,647
column123311,column210563,column326679,2866,column5382,column6406,column785,column813,column911,column1010,647,341,993,1038
column131185,column242069,column344226,5510,column5627,column6272,column753,column85,column925,column1047,593,771,570,825
column11061,column21149,column343149,3401,column5975,column6125,column77,column83,column937,column105,80,894,586,952
column136927,column27750,column336965,1690,column5854,column6232,column790,column810,column928,column1042,906,863,54,76
column129946,column219639,column332166,1482,column5195,column6380,column779,column823,column918,column1014,836,287,535,754
column144862,column243372,column314526,5336,column5710,column6462,column722,column843,column945,column105,804,443,686,183
column147328,column239875,column39769,2979,column5731,column6238,column774,column83,column924,column1042,449,167,268,304
column11465,column224532,column344290,6016,column5220,column6360,column719,column832,column935,column1039,112,260,79,239
column119849,column238460,column329807,8647,column52,column6404,column710,column81,column919,column1035,688,673,300,687
column126038,column221896,column32900,1397,column550,column6209,column745,column817,column934,column1040,884,119,297,520
column133377,column228185,column39406,2804,column5666,column6227,column710,column813,column933,column1035,274,506,604,417
column141147,column225250,column328722,1726,column5526,column6305,column795,column840,column921,column1042,612,781,634,134
column136335,column234337,column318911,3417,column5823,column6251,column767,column836,column942,column109,250,143,923,141
column111814,column21314,column31628,3539,column5933,column6393,column793,column812,column95,column1033,207,790,685,546
column142887,column233843,column310568,6576,column535,column677,column77,column89,column939,column1030,204,211,748,519
column148649,column219760,column348508,1717,column5402,column6177,column786,column848,column918,column1017,565,42,992,836
column13810,column211702,column335708,9095,column5493,column6347,column785,column839,column939,column1036,352,588,634,559
column19884,column233087,column31384,9135,column5129,column6490,column739,column827,column915,column1034,496,332,941,882
column147933,column221990,column328217,3602,column5396,column6155,column77,column825,column91,column1013,106,853,467,701
column127990,column2110,column313265,580,column5966,column6395,column741,column810,column939,column1048,559,815,214,441
column11787,column212888,column344382,1281,column5137,column6351,column72,column841,column930,column1046,318,946,305,326
column1925,column213905,column347178,4501,column5869,column661,column759,column87,column91,column1020,374,929,411,236
column136491,column246640,column345114,7129,column5839,column6186,column765,column840,column930,column1019,892,444,346,100
column145478,column221289,column329226,5764,column5425,column6325,column73,column841,column915,column103,948,800,865,775
column148590,column233146,column340715,2707,column5459,column6484,column71,column819,column91,column103,990,471,787,709
column137283,column237968,column34531,9067,column5303,column6423,column766,column834,column943,column1029,544,982,407,1012
column122681,column240725,column349215,3392,column5258,column678,column74,column836,column912,column105,155,725,164,776
column121137,column225381,column313841,429,column5193,column6408,column715,column842,column912,column1010,655,256,157,930
column131056,column26981,column347629,4330,column5289,column6399,column70,column814,column939,column1039,507,403,405,528
